"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 29, 2017","3.063","3.300","3.342","3.042","798.82K","-9.67%"
"Jan 22, 2017","3.391","3.180","3.494","3.145","334.62K","5.84%"
"Jan 15, 2017","3.204","3.473","3.513","3.189","550.91K","-6.29%"
"Jan 08, 2017","3.419","3.253","3.450","3.098","844.83K","4.08%"
"Jan 01, 2017","3.285","3.568","3.568","3.172","774.17K","-11.79%"
"Dec 25, 2016","3.724","3.736","3.994","3.664","306.42K","1.69%"
"Dec 18, 2016","3.662","3.353","3.715","3.242","631.53K","7.23%"
"Dec 11, 2016","3.415","3.583","3.601","3.343","860.33K","-8.84%"
"Dec 04, 2016","3.746","3.471","3.777","3.450","1.11M","9.02%"
"Nov 27, 2016","3.436","3.130","3.568","3.130","724.99K","11.38%"
"Nov 20, 2016","3.085","2.898","3.121","2.891","327.01K","8.51%"
"Nov 13, 2016","2.843","2.667","2.852","2.644","689.77K","8.55%"
"Nov 06, 2016","2.619","2.848","2.875","2.546","910.89K","-5.35%"
"Oct 30, 2016","2.767","3.150","3.163","2.725","868.53K","-10.89%"
"Oct 23, 2016","3.105","3.007","3.125","2.627","516.00K","3.74%"
"Oct 16, 2016","2.993","3.260","3.317","2.955","734.68K","-8.89%"
"Oct 09, 2016","3.285","3.194","3.366","3.154","998.11K","2.88%"
"Oct 02, 2016","3.193","2.905","3.218","2.866","928.92K","9.88%"
"Sep 25, 2016","2.906","2.949","3.032","2.892","398.20K","-1.66%"
"Sep 18, 2016","2.955","2.956","3.098","2.890","634.31K","0.24%"
"Sep 11, 2016","2.948","2.820","2.978","2.820","781.87K","5.40%"
"Sep 04, 2016","2.797","2.764","2.844","2.665","628.43K","0.18%"
"Aug 28, 2016","2.792","2.847","2.943","2.770","530.28K","-2.75%"
"Aug 21, 2016","2.871","2.596","2.907","2.596","501.62K","11.11%"
"Aug 14, 2016","2.584","2.565","2.697","2.561","592.55K","-0.08%"
"Aug 07, 2016","2.586","2.749","2.761","2.523","901.13K","-6.71%"
"Jul 31, 2016","2.772","2.840","2.885","2.722","685.37K","-3.62%"
"Jul 24, 2016","2.876","2.779","2.911","2.651","479.89K","3.56%"
"Jul 17, 2016","2.777","2.775","2.799","2.625","537.10K","0.76%"
"Jul 10, 2016","2.756","2.819","2.871","2.669","675.00K","-1.61%"
"Jul 03, 2016","2.801","2.915","2.945","2.697","549.39K","-6.23%"
"Jun 26, 2016","2.987","2.636","2.998","2.631","480.98K","12.21%"
"Jun 19, 2016","2.662","2.652","2.786","2.614","613.59K","1.49%"
"Jun 12, 2016","2.623","2.595","2.656","2.535","707.08K","2.62%"
"Jun 05, 2016","2.556","2.439","2.630","2.399","929.03K","6.59%"
"May 29, 2016","2.398","2.160","2.454","2.151","695.67K","10.56%"
"May 22, 2016","2.169","2.093","2.191","1.909","379.96K","5.19%"
"May 15, 2016","2.062","2.080","2.087","1.952","650.92K","-1.62%"
"May 08, 2016","2.096","2.104","2.185","2.075","716.09K","-0.24%"
"May 01, 2016","2.101","2.132","2.179","2.026","694.99K","-3.54%"
"Apr 24, 2016","2.178","2.160","2.195","1.950","545.11K","1.78%"
"Apr 17, 2016","2.140","1.882","2.147","1.872","801.12K","12.51%"
"Apr 10, 2016","1.902","1.951","2.051","1.885","783.12K","-4.42%"
"Apr 03, 2016","1.990","1.988","2.074","1.892","796.62K","1.74%"
"Mar 27, 2016","1.956","1.785","2.028","1.766","481.94K","8.31%"
"Mar 20, 2016","1.806","1.893","1.908","1.772","442.20K","-5.30%"
"Mar 13, 2016","1.907","1.818","1.957","1.771","655.55K","4.67%"
"Mar 06, 2016","1.822","1.628","1.859","1.612","785.71K","9.36%"
"Feb 28, 2016","1.666","1.711","1.775","1.611","734.77K","-6.98%"
"Feb 21, 2016","1.791","1.784","1.848","1.682","316.15K","-0.72%"
"Feb 14, 2016","1.804","1.952","1.963","1.794","499.44K","-8.24%"
"Feb 07, 2016","1.966","2.106","2.172","1.951","754.55K","-4.70%"
"Jan 31, 2016","2.063","2.213","2.228","1.954","833.34K","-10.23%"
"Jan 24, 2016","2.298","2.156","2.315","2.081","483.73K","7.43%"
"Jan 17, 2016","2.139","2.055","2.189","2.044","492.90K","1.86%"
"Jan 10, 2016","2.100","2.446","2.480","2.086","702.73K","-15.05%"
"Jan 03, 2016","2.472","2.366","2.495","2.239","803.81K","5.78%"
"Dec 27, 2015","2.337","2.082","2.387","2.067","357.82K","15.18%"
